降价房源: 230万📉220万 https://bj.ke.com/ershoufang/101123664821.html 20240508,丰台,十里河,101123664821,周家庄中路20号院 南向一居室 中间层 地铁200米,220万,46355元/平,中楼层 (共18层) 1室1厅 | 47.46平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_NpeheWX26.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 315万📉295万 https://bj.ke.com/ershoufang/101123258938.html 20240508,昌平,鼓楼大街,101123258938,石坊院 2室1厅 南 北,295万,31834元/平,中楼层 (共6层) | 1999年 | 2室1厅 | 92.67平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/c1225175-c117-4e89-a9a7-94b332dc1520_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 225万📉199万 https://bj.ke.com/ershoufang/101118659626.html 20240508,昌平,鼓楼大街,101118659626,南环里楼龄新环境优美绿化好生活便利,199万,31026元/平,中楼层 (共6层) 2室1厅 | 64.14平米 | 东南,https://ke-image.ljcdn.com/110000-inspection/b4f0c11a-2374-4b66-a3e8-04338797d535_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 335万📉334万 https://bj.ke.com/ershoufang/101123253168.html 20240508,昌平,鼓楼大街,101123253168,蔚雲府 中间层 2015年电梯房距离地铁500米,334万,35841元/平,中楼层 (共16层) 2室1厅 | 93.19平米 | 东 西,https://ke-image.ljcdn.com/110000-inspection/4cacd9ac-0cb1-44f0-8cca-cc20ae748646_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 160万📉149万 https://bj.ke.com/ershoufang/101121849490.html 20240508,昌平,鼓楼大街,101121849490,石坊院 1室1厅 南房主自荐,149万,35973元/平,中楼层 (共6层) | 1988年 | 1室1厅 | 41.42平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_Lf0GwawrO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 105万📉100万 https://bj.ke.com/ershoufang/101123830687.html 20240508,昌平,鼓楼大街,101123830687,昌平佳莲时代广场 1室1厅 南,100万,19585元/平,顶层 (共8层) 1室1厅 | 51.06平米 | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=20240411140708
降价房源: 155万📉150万 https://bj.ke.com/ershoufang/101121881203.html 20240508,门头沟,大峪,101121881203,黑山北小街4号院南北朝向通风好,150万,27706元/平,中楼层 (共4层) | 1990年 | 2室1厅 | 54.14平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/bf46c6b5-4bdf-48d5-89d8-c6df0f58e441_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 195万📉185万 https://bj.ke.com/ershoufang/101123129598.html 20240508,门头沟,大峪,101123129598,新桥大街39号院 小区安静 满五唯一商品房 中间楼层,185万,28844元/平,中楼层 (共6层) | 1995年 | 2室1厅 | 64.14平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/df8b208b-7c58-4276-b26b-bfb4af76890c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 360万📉358万 https://bj.ke.com/ershoufang/101122087028.html 20240508,门头沟,大峪,101122087028,金泰丽湾悦栖山          商品房  满五唯一房主自荐,358万,38310元/平,中楼层 (共21层) 2室1厅 | 93.45平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_tPVS7qBij.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 249万📉236万 https://bj.ke.com/ershoufang/101120493303.html 20240508,门头沟,大峪,101120493303,满五年唯一 2000年楼龄新 南北通透 大客厅房主自荐,236万,28596元/平,中楼层 (共6层) 2室1厅 | 82.53平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/c604cbd6-df00-407a-a20c-3a37bada3c77_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 320万📉300万 https://bj.ke.com/ershoufang/101124102797.html 20240508,门头沟,大峪,101124102797,新桥家园大两居 视野开阔 采光好,300万,28041元/平,低楼层 (共24层) 2室2厅 | 106.99平米 | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_8rQKLHq1w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 225万📉220万 https://bj.ke.com/ershoufang/101123967166.html 20240508,门头沟,大峪,101123967166,永新小区 2001年 两室两厅 户型好 南北通透  有装修必看好房,220万,25650元/平,高楼层 (共6层) 2室2厅 | 85.77平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/cbf71884-32ad-4ad2-b088-b08adce067ef_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 145万📉134万 https://bj.ke.com/ershoufang/101123390864.html 20240508,门头沟,大峪,101123390864,大峪南路双卧朝南明厨明卫视野采光好,134万,23415元/平,顶层 (共6层) | 1980年 | 2室1厅 | 57.23平米 | 南,https://ke-image.ljcdn.com/110000-inspection/c7e4058b-5665-436c-a473-6f656b626f04_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 898万📉869万 https://bj.ke.com/ershoufang/101123258074.html 20240508,门头沟,大峪,101123258074,西山艺境华墅上跃高得房率看房随时,869万,43189元/平,顶层 (共5层) | 2017年 | 7室3厅 | 201.21平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_44fJebKPU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 1560万📉1490万 https://bj.ke.com/ershoufang/101119451128.html 20240508,门头沟,大峪,101119451128,西山艺境6号院 精装修联排 一层有花园 配套齐全,1490万,79932元/平,顶层 (共4层) | 2015年 | 5室2厅 | 186.41平米 | 北 南,https://ke-image.ljcdn.com/110000-inspection/e2a75158-5676-4d26-8026-a3c6d36ffe4c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 76万📉75万 https://bj.ke.com/ershoufang/101123898990.html 20240508,门头沟,大峪,101123898990,中昂时代广场 精装修 交通便利 配套成熟,75万,19727元/平,低楼层 (共19层) | 2019年 | 1室1厅 | 38.02平米 | 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=20240411140708
降价房源: 21.5万📉19.5万 https://bj.ke.com/ershoufang/101121163667.html 20240508,门头沟,大峪,101121163667,小区人车分流地下车库电梯直达出行方便,19.5万,13752元/平,地下室 (共21层) 1室0厅 | 14.18平米 | 南,https://ke-image.ljcdn.com/110000-inspection/fcbc70af-44f1-4695-b519-01f3271927ea.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 660万📉650万 https://bj.ke.com/ershoufang/101123666667.html 20240508,西城,太平桥,101123666667,首科花园 高层两居 户型方正 满五唯一 对院内花园,650万,65957元/平,高楼层 (共24层) | 2003年 | 2室1厅 | 98.55平米 | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_l0aFMJh2v.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 530万📉495万 https://bj.ke.com/ershoufang/101122636252.html 20240508,西城,太平桥,101122636252,太平桥中里 南北通透 三居室 明厨明卫 中间楼层,495万,62706元/平,中楼层 (共6层) | 1988年 | 3室1厅 | 78.94平米 | 南 北 东,https://ke-image.ljcdn.com/110000-inspection/pc1_jWWfHK8Zf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 889万📉828万 https://bj.ke.com/ershoufang/101123252008.html 20240508,西城,太平桥,101123252008,三环里  满五唯一商品房  双卫  不临街,828万,68634元/平,低楼层 (共24层) 3室1厅 | 120.64平米 | 西南,https://ke-image.ljcdn.com/110000-inspection/pc1_788oQeEUk.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 610万📉590万 https://bj.ke.com/ershoufang/101122785525.html 20240508,西城,太平桥,101122785525,糖人街  东南北两居 近地铁临公园三向通风采光,590万,74214元/平,低楼层 (共24层) 2室1厅 | 79.5平米 | 西南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_9iz6u9TQ2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
