20230630,大兴,天宫院南,绿茵花园,32966元/m2,11套在售二手房
20230630,大兴,天宫院南,北京市大兴区魏善庄镇张家场村,暂无数据,0套在售二手房
20230630,大兴,天宫院南,万嘉轩公寓,暂无数据,0套在售二手房
20230630,大兴,天宫院南,敬贤家园南里D区,暂无数据,0套在售二手房
