20230616,西城,宣武门,刘家胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,琉璃厂东街,暂无数据,0套在售二手房
20230616,西城,宣武门,琉璃厂,暂无数据,0套在售二手房
20230616,西城,宣武门,中信国安府,206755元/m2,0套在售二手房
20230616,西城,宣武门,抬头巷,暂无数据,0套在售二手房
20230616,西城,宣武门,藏家桥胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,校场四条,暂无数据,0套在售二手房
20230616,西城,宣武门,廊坊三条,暂无数据,0套在售二手房
20230616,西城,宣武门,校场小七条,194760元/m2,0套在售二手房
20230616,西城,宣武门,取灯胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,大六条胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,诚实胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,铁门胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,西太平巷,暂无数据,0套在售二手房
20230616,西城,宣武门,扬威胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,东南园头条,暂无数据,0套在售二手房
20230616,西城,宣武门,大百顺胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,南火扇胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,校场二条,暂无数据,0套在售二手房
20230616,西城,宣武门,小沙土园夹道,暂无数据,0套在售二手房
20230616,西城,宣武门,棉花五条,暂无数据,0套在售二手房
